INDIV_ID,ALT,COST,DISTANCE,WAITTIME,TRAVELTIME,SHAREFRONT,SHAREBACK,PRIVATE,URGENCY,PEERCHOICE_GO,PEERCHOICE_STAY,PAUSING,REOPENING,REOPENED,THREAT,GENDER,AGE,INCOME,EMPLOYMENT,RACE,HISPANIC,AREA,HH_SIZE,VEHICLES,REP,DEM,CHILDREN,ELDERLY,DISABILITY,NONENGLISH,PETS
180,1,20,0.25,0,60,0,0,1,3,1,2,1,0,0,3,1,1,4,4,1,0,1,3,2,0,0,0,0,0,0,1
180,2,0,0.25,60,40,0,0,1,1,4,1,1,0,0,3,1,1,4,4,1,0,1,3,2,0,0,0,0,0,0,1
180,2,0,0.5,60,40,0,1,0,1,1,1,1,0,0,3,1,1,4,4,1,0,1,3,2,0,0,0,0,0,0,1
180,2,0,0.25,30,60,1,0,0,2,2,0,1,0,0,3,1,1,4,4,1,0,1,3,2,0,0,0,0,0,0,1
180,2,40,0.5,0,60,0,1,0,2,2,1,1,0,0,3,1,1,4,4,1,0,1,3,2,0,0,0,0,0,0,1
183,1,40,0,60,40,0,0,1,3,0,4,0,0,1,3,2,2,7,1,1,0,2,2,2,0,1,0,0,0,0,1
183,2,0,0.25,60,40,0,0,1,1,4,1,0,0,1,3,2,2,7,1,1,0,2,2,2,0,1,0,0,0,0,1
183,2,0,0.5,60,40,0,1,0,1,1,1,0,0,1,3,2,2,7,1,1,0,2,2,2,0,1,0,0,0,0,1
183,2,0,0.25,30,60,1,0,0,2,2,0,0,0,1,3,2,2,7,1,1,0,2,2,2,0,1,0,0,0,0,1
183,2,0,0.5,30,20,0,0,1,2,2,0,0,0,1,3,2,2,7,1,1,0,2,2,2,0,1,0,0,0,0,1
183,2,40,0.5,0,60,0,1,0,2,2,1,0,0,1,3,2,2,7,1,1,0,2,2,2,0,1,0,0,0,0,1
189,1,0,0.5,60,40,0,1,0,1,1,1,0,1,0,4,1,2,3,1,1,0,3,2,1,0,1,0,1,0,0,0
189,1,0,0.25,30,60,1,0,0,2,2,0,0,1,0,4,1,2,3,1,1,0,3,2,1,0,1,0,1,0,0,0
189,1,0,0.5,30,20,0,0,1,2,2,0,0,1,0,4,1,2,3,1,1,0,3,2,1,0,1,0,1,0,0,0
189,1,40,0.5,0,60,0,0,1,3,3,0,0,1,0,4,1,2,3,1,1,0,3,2,1,0,1,0,1,0,0,0
189,1,40,0,60,40,0,0,1,3,0,4,0,1,0,4,1,2,3,1,1,0,3,2,1,0,1,0,1,0,0,0
189,2,40,0.5,0,60,0,1,0,2,2,1,0,1,0,4,1,2,3,1,1,0,3,2,1,0,1,0,1,0,0,0
190,1,40,0.5,0,60,0,0,1,3,3,0,0,1,0,4,1,1,12,4,1,0,3,5,3,0,0,1,0,0,0,0
190,2,0,0.25,60,40,0,0,1,1,4,1,0,1,0,4,1,1,12,4,1,0,3,5,3,0,0,1,0,0,0,0
190,2,0,0.5,60,40,0,1,0,1,1,1,0,1,0,4,1,1,12,4,1,0,3,5,3,0,0,1,0,0,0,0
190,2,0,0.25,30,60,1,0,0,2,2,0,0,1,0,4,1,1,12,4,1,0,3,5,3,0,0,1,0,0,0,0
190,2,0,0.5,30,20,0,0,1,2,2,0,0,1,0,4,1,1,12,4,1,0,3,5,3,0,0,1,0,0,0,0
190,2,40,0.5,0,60,0,1,0,2,2,1,0,1,0,4,1,1,12,4,1,0,3,5,3,0,0,1,0,0,0,0
193,1,40,0,60,40,0,0,1,3,0,4,0,1,0,2,2,2,10,1,1,0,2,2,2,1,0,0,0,0,0,0
193,2,0,0.25,60,40,0,0,1,1,4,1,0,1,0,2,2,2,10,1,1,0,2,2,2,1,0,0,0,0,0,0
193,2,0,0.5,60,40,0,1,0,1,1,1,0,1,0,2,2,2,10,1,1,0,2,2,2,1,0,0,0,0,0,0
193,2,0,0.25,30,60,1,0,0,2,2,0,0,1,0,2,2,2,10,1,1,0,2,2,2,1,0,0,0,0,0,0
193,2,0,0.5,30,20,0,0,1,2,2,0,0,1,0,2,2,2,10,1,1,0,2,2,2,1,0,0,0,0,0,0
193,2,40,0.5,0,60,0,1,0,2,2,1,0,1,0,2,2,2,10,1,1,0,2,2,2,1,0,0,0,0,0,0
200,1,40,0,30,20,0,0,1,2,3,0,0,0,1,4,1,2,7,1,1,0,2,4,4,0,1,0,0,0,0,0
200,1,40,0.5,0,40,0,0,1,3,1,0,0,0,1,4,1,2,7,1,1,0,2,4,4,0,1,0,0,0,0,0
200,2,20,0,60,40,0,1,0,1,2,0,0,0,1,4,1,2,7,1,1,0,2,4,4,0,1,0,0,0,0,0
200,2,20,0,60,40,0,0,1,1,0,2,0,0,1,4,1,2,7,1,1,0,2,4,4,0,1,0,0,0,0,0
200,2,40,0,30,20,0,1,0,1,0,1,0,0,1,4,1,2,7,1,1,0,2,4,4,0,1,0,0,0,0,0
200,2,0,0.5,30,60,0,0,1,1,1,2,0,0,1,4,1,2,7,1,1,0,2,4,4,0,1,0,0,0,0,0
204,1,20,0,60,40,0,1,0,1,2,0,1,0,0,3,1,2,8,1,4,0,3,5,2,0,1,1,0,0,0,0
204,1,20,0,60,40,0,0,1,1,0,2,1,0,0,3,1,2,8,1,4,0,3,5,2,0,1,1,0,0,0,0
204,1,0,0.5,30,60,0,0,1,1,1,2,1,0,0,3,1,2,8,1,4,0,3,5,2,0,1,1,0,0,0,0
204,1,20,0.25,0,40,0,1,0,2,0,0,1,0,0,3,1,2,8,1,4,0,3,5,2,0,1,1,0,0,0,0
204,1,40,0.5,0,40,0,0,1,3,1,0,1,0,0,3,1,2,8,1,4,0,3,5,2,0,1,1,0,0,0,0
204,1,0,0.25,60,20,0,0,1,3,0,2,1,0,0,3,1,2,8,1,4,0,3,5,2,0,1,1,0,0,0,0
205,1,20,0,60,40,0,1,0,1,2,0,1,0,0,3,1,2,3,1,2,0,1,2,2,0,1,0,0,0,0,0
205,1,20,0,60,40,0,0,1,1,0,2,1,0,0,3,1,2,3,1,2,0,1,2,2,0,1,0,0,0,0,0
205,1,0,0.25,60,20,0,0,1,3,0,2,1,0,0,3,1,2,3,1,2,0,1,2,2,0,1,0,0,0,0,0
205,2,20,0,30,40,0,0,1,2,1,1,1,0,0,3,1,2,3,1,2,0,1,2,2,0,1,0,0,0,0,0
205,2,40,0,30,20,0,0,1,2,3,0,1,0,0,3,1,2,3,1,2,0,1,2,2,0,1,0,0,0,0,0
205,2,20,0.25,0,40,0,1,0,2,0,0,1,0,0,3,1,2,3,1,2,0,1,2,2,0,1,0,0,0,0,0
206,1,40,0,30,20,0,0,1,2,3,0,0,0,0,2,2,2,4,2,1,0,2,2,2,0,0,0,0,0,0,1
206,2,20,0,60,40,0,1,0,1,2,0,0,0,0,2,2,2,4,2,1,0,2,2,2,0,0,0,0,0,0,1
206,2,20,0,60,40,0,0,1,1,0,2,0,0,0,2,2,2,4,2,1,0,2,2,2,0,0,0,0,0,0,1
206,2,40,0,30,20,0,1,0,1,0,1,0,0,0,2,2,2,4,2,1,0,2,2,2,0,0,0,0,0,0,1
206,2,0,0.5,30,60,0,0,1,1,1,2,0,0,0,2,2,2,4,2,1,0,2,2,2,0,0,0,0,0,0,1
206,2,20,0.25,0,40,0,1,0,2,0,0,0,0,0,2,2,2,4,2,1,0,2,2,2,0,0,0,0,0,0,1
208,1,0,0.25,60,20,0,0,1,3,0,2,1,0,0,3,1,2,6,1,3,0,1,1,1,0,1,0,0,0,0,1
208,2,20,0,60,40,0,1,0,1,2,0,1,0,0,3,1,2,6,1,3,0,1,1,1,0,1,0,0,0,0,1
208,2,20,0,60,40,0,0,1,1,0,2,1,0,0,3,1,2,6,1,3,0,1,1,1,0,1,0,0,0,0,1
208,2,0,0.5,30,60,0,0,1,1,1,2,1,0,0,3,1,2,6,1,3,0,1,1,1,0,1,0,0,0,0,1
208,2,40,0,30,20,0,0,1,2,3,0,1,0,0,3,1,2,6,1,3,0,1,1,1,0,1,0,0,0,0,1
208,2,20,0.25,0,40,0,1,0,2,0,0,1,0,0,3,1,2,6,1,3,0,1,1,1,0,1,0,0,0,0,1
209,1,20,0.25,0,40,0,1,0,2,0,0,0,1,0,1,1,1,0,4,4,0,1,3,3,0,0,0,0,0,0,0
209,1,40,0.5,0,40,0,0,1,3,1,0,0,1,0,1,1,1,0,4,4,0,1,3,3,0,0,0,0,0,0,0
209,1,0,0.25,60,20,0,0,1,3,0,2,0,1,0,1,1,1,0,4,4,0,1,3,3,0,0,0,0,0,0,0
209,2,20,0,60,40,0,0,1,1,0,2,0,1,0,1,1,1,0,4,4,0,1,3,3,0,0,0,0,0,0,0
209,2,40,0,30,20,0,1,0,1,0,1,0,1,0,1,1,1,0,4,4,0,1,3,3,0,0,0,0,0,0,0
209,2,0,0.5,30,60,0,0,1,1,1,2,0,1,0,1,1,1,0,4,4,0,1,3,3,0,0,0,0,0,0,0
213,1,20,0,30,40,0,0,1,2,1,1,0,1,0,3,1,2,2,2,3,0,3,2,0,0,0,0,0,0,0,0
213,1,20,0.25,0,40,0,1,0,2,0,0,0,1,0,3,1,2,2,2,3,0,3,2,0,0,0,0,0,0,0,0
213,1,40,0.5,0,40,0,0,1,3,1,0,0,1,0,3,1,2,2,2,3,0,3,2,0,0,0,0,0,0,0,0
213,2,20,0,60,40,0,0,1,1,0,2,0,1,0,3,1,2,2,2,3,0,3,2,0,0,0,0,0,0,0,0
213,2,40,0,30,20,0,1,0,1,0,1,0,1,0,3,1,2,2,2,3,0,3,2,0,0,0,0,0,0,0,0
213,2,0,0.5,30,60,0,0,1,1,1,2,0,1,0,3,1,2,2,2,3,0,3,2,0,0,0,0,0,0,0,0
217,1,0,0.5,30,60,0,0,1,1,1,2,0,1,0,4,1,1,7,1,3,0,3,2,2,0,0,0,0,0,0,0
217,1,20,0,30,40,0,0,1,2,1,1,0,1,0,4,1,1,7,1,3,0,3,2,2,0,0,0,0,0,0,0
217,1,40,0.5,0,40,0,0,1,3,1,0,0,1,0,4,1,1,7,1,3,0,3,2,2,0,0,0,0,0,0,0
217,2,20,0,60,40,0,1,0,1,2,0,0,1,0,4,1,1,7,1,3,0,3,2,2,0,0,0,0,0,0,0
217,2,20,0,60,40,0,0,1,1,0,2,0,1,0,4,1,1,7,1,3,0,3,2,2,0,0,0,0,0,0,0
217,2,20,0.25,0,40,0,1,0,2,0,0,0,1,0,4,1,1,7,1,3,0,3,2,2,0,0,0,0,0,0,0
221,1,20,0,60,40,0,0,1,1,0,2,1,0,0,4,2,1,4,4,3,0,1,3,1,0,1,0,1,1,1,0
221,1,0,0.5,30,60,0,0,1,1,1,2,1,0,0,4,2,1,4,4,3,0,1,3,1,0,1,0,1,1,1,0
221,1,40,0,30,20,0,0,1,2,3,0,1,0,0,4,2,1,4,4,3,0,1,3,1,0,1,0,1,1,1,0
221,1,20,0.25,0,40,0,1,0,2,0,0,1,0,0,4,2,1,4,4,3,0,1,3,1,0,1,0,1,1,1,0
221,1,40,0.5,0,40,0,0,1,3,1,0,1,0,0,4,2,1,4,4,3,0,1,3,1,0,1,0,1,1,1,0
221,1,0,0.25,60,20,0,0,1,3,0,2,1,0,0,4,2,1,4,4,3,0,1,3,1,0,1,0,1,1,1,0
225,1,40,0.5,0,40,0,0,1,3,1,0,0,1,0,3,2,1,1,4,1,0,2,1,1,0,1,0,0,0,0,0
225,1,0,0.25,60,20,0,0,1,3,0,2,0,1,0,3,2,1,1,4,1,0,2,1,1,0,1,0,0,0,0,0
225,2,20,0,60,40,0,1,0,1,2,0,0,1,0,3,2,1,1,4,1,0,2,1,1,0,1,0,0,0,0,0
225,2,20,0,60,40,0,0,1,1,0,2,0,1,0,3,2,1,1,4,1,0,2,1,1,0,1,0,0,0,0,0
225,2,40,0,30,20,0,1,0,1,0,1,0,1,0,3,2,1,1,4,1,0,2,1,1,0,1,0,0,0,0,0
225,2,0,0.5,30,60,0,0,1,1,1,2,0,1,0,3,2,1,1,4,1,0,2,1,1,0,1,0,0,0,0,0
227,1,40,0,30,20,0,0,1,2,3,0,1,0,0,4,2,5,7,1,1,0,3,2,2,1,0,0,0,0,0,0
227,1,20,0.25,0,40,0,1,0,2,0,0,1,0,0,4,2,5,7,1,1,0,3,2,2,1,0,0,0,0,0,0
227,2,20,0,60,40,0,1,0,1,2,0,1,0,0,4,2,5,7,1,1,0,3,2,2,1,0,0,0,0,0,0
227,2,20,0,60,40,0,0,1,1,0,2,1,0,0,4,2,5,7,1,1,0,3,2,2,1,0,0,0,0,0,0
227,2,40,0,30,20,0,1,0,1,0,1,1,0,0,4,2,5,7,1,1,0,3,2,2,1,0,0,0,0,0,0
227,2,0,0.5,30,60,0,0,1,1,1,2,1,0,0,4,2,5,7,1,1,0,3,2,2,1,0,0,0,0,0,0
228,1,0,0.5,30,60,0,0,1,1,1,2,0,1,0,4,0,1,3,1,1,0,3,3,2,0,1,0,1,1,0,1
228,1,20,0,30,40,0,0,1,2,1,1,0,1,0,4,0,1,3,1,1,0,3,3,2,0,1,0,1,1,0,1
228,1,40,0,30,20,0,0,1,2,3,0,0,1,0,4,0,1,3,1,1,0,3,3,2,0,1,0,1,1,0,1
228,1,40,0.5,0,40,0,0,1,3,1,0,0,1,0,4,0,1,3,1,1,0,3,3,2,0,1,0,1,1,0,1
228,2,20,0,60,40,0,0,1,1,0,2,0,1,0,4,0,1,3,1,1,0,3,3,2,0,1,0,1,1,0,1
228,2,20,0.25,0,40,0,1,0,2,0,0,0,1,0,4,0,1,3,1,1,0,3,3,2,0,1,0,1,1,0,1
229,1,0,0.25,60,20,0,0,1,3,0,2,0,1,0,2,1,2,6,2,1,0,3,3,2,0,1,0,0,0,0,1
229,2,20,0,60,40,0,1,0,1,2,0,0,1,0,2,1,2,6,2,1,0,3,3,2,0,1,0,0,0,0,1
229,2,20,0,60,40,0,0,1,1,0,2,0,1,0,2,1,2,6,2,1,0,3,3,2,0,1,0,0,0,0,1
229,2,40,0,30,20,0,1,0,1,0,1,0,1,0,2,1,2,6,2,1,0,3,3,2,0,1,0,0,0,0,1
229,2,0,0.5,30,60,0,0,1,1,1,2,0,1,0,2,1,2,6,2,1,0,3,3,2,0,1,0,0,0,0,1
229,2,40,0,30,20,0,0,1,2,3,0,0,1,0,2,1,2,6,2,1,0,3,3,2,0,1,0,0,0,0,1
231,1,20,0,30,40,0,0,1,2,1,1,1,0,0,3,2,1,6,1,3,0,2,3,0,0,0,0,0,0,0,1
231,1,40,0,30,20,0,0,1,2,3,0,1,0,0,3,2,1,6,1,3,0,2,3,0,0,0,0,0,0,0,1
231,1,40,0.5,0,40,0,0,1,3,1,0,1,0,0,3,2,1,6,1,3,0,2,3,0,0,0,0,0,0,0,1
231,2,20,0,60,40,0,1,0,1,2,0,1,0,0,3,2,1,6,1,3,0,2,3,0,0,0,0,0,0,0,1
231,2,20,0,60,40,0,0,1,1,0,2,1,0,0,3,2,1,6,1,3,0,2,3,0,0,0,0,0,0,0,1
231,2,0,0.5,30,60,0,0,1,1,1,2,1,0,0,3,2,1,6,1,3,0,2,3,0,0,0,0,0,0,0,1
239,1,40,0,30,20,0,1,0,1,0,1,1,0,0,3,1,1,1,4,3,0,2,5,1,0,0,1,0,0,0,0
239,1,0,0.5,30,60,0,0,1,1,1,2,1,0,0,3,1,1,1,4,3,0,2,5,1,0,0,1,0,0,0,0
239,1,20,0,30,40,0,0,1,2,1,1,1,0,0,3,1,1,1,4,3,0,2,5,1,0,0,1,0,0,0,0
239,1,20,0.25,0,40,0,1,0,2,0,0,1,0,0,3,1,1,1,4,3,0,2,5,1,0,0,1,0,0,0,0
239,1,40,0.5,0,40,0,0,1,3,1,0,1,0,0,3,1,1,1,4,3,0,2,5,1,0,0,1,0,0,0,0
239,2,20,0,60,40,0,0,1,1,0,2,1,0,0,3,1,1,1,4,3,0,2,5,1,0,0,1,0,0,0,0
240,1,20,0,30,40,0,0,1,2,1,1,1,0,0,4,1,1,4,2,1,0,2,3,2,0,1,0,0,1,0,1
240,1,20,0.25,0,40,0,1,0,2,0,0,1,0,0,4,1,1,4,2,1,0,2,3,2,0,1,0,0,1,0,1
240,1,40,0.5,0,40,0,0,1,3,1,0,1,0,0,4,1,1,4,2,1,0,2,3,2,0,1,0,0,1,0,1
240,2,20,0,60,40,0,1,0,1,2,0,1,0,0,4,1,1,4,2,1,0,2,3,2,0,1,0,0,1,0,1
240,2,20,0,60,40,0,0,1,1,0,2,1,0,0,4,1,1,4,2,1,0,2,3,2,0,1,0,0,1,0,1
240,2,40,0,30,20,0,1,0,1,0,1,1,0,0,4,1,1,4,2,1,0,2,3,2,0,1,0,0,1,0,1
241,1,40,0,30,20,0,0,1,2,3,0,0,1,0,4,2,1,12,4,3,0,2,4,3,0,1,1,0,0,0,0
241,1,0,0.25,60,20,0,0,1,3,0,2,0,1,0,4,2,1,12,4,3,0,2,4,3,0,1,1,0,0,0,0
241,2,20,0,60,40,0,1,0,1,2,0,0,1,0,4,2,1,12,4,3,0,2,4,3,0,1,1,0,0,0,0
241,2,20,0,60,40,0,0,1,1,0,2,0,1,0,4,2,1,12,4,3,0,2,4,3,0,1,1,0,0,0,0
241,2,40,0,30,20,0,1,0,1,0,1,0,1,0,4,2,1,12,4,3,0,2,4,3,0,1,1,0,0,0,0
241,2,0,0.5,30,60,0,0,1,1,1,2,0,1,0,4,2,1,12,4,3,0,2,4,3,0,1,1,0,0,0,0
